video_id,frame_seq,gap,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
77,0,0,0.0,0:00:00,0,"(910.1832352607994, 658.3460438051969)","(910.1832352607994, 711.8862341146557)","(914.1491752837222, 767.409394435576)","(918.1151153066452, 822.9325547564962)","(930.0129353754138, 874.4897750544935)","(957.7745155358739, 918.1151153066452)","(997.4339157651026, 953.808575512951)","(1043.0422260287157, 981.5701556734111)","(1094.599446326713, 995.4509457536411)","(1144.173696613249, 987.5190657077954)","(1189.782006876862, 961.7404555587967)","(1229.4414071060908, 930.0129353754138)","(1261.1689272894737, 892.3365051576465)","(1280.998627404088, 844.745224882572)","(1290.9134774613951, 797.1539446074975)","(1300.8283275187025, 745.5967243095001)","(1308.7602075645482, 692.0565340000413)","(953.808575512951, 626.618523621814)","(981.5701556734111, 606.7888235071996)","(1013.2976758567941, 600.8399134728153)","(1047.0081660516385, 604.8058534957381)","(1078.7356862350216, 620.6696135874297)","(1160.0374567049405, 622.652583598891)","(1191.7649768883234, 612.7377335415839)","(1225.4754670831678, 612.7377335415839)","(1255.2200172550893, 622.652583598891)","(1275.0497173697038, 646.4482237364283)","(1118.3950864642502, 662.3119838281199)","(1116.4121164527887, 694.0395040115028)","(1114.4291464413275, 723.7840541834244)","(1110.4632064184045, 757.4945443782688)","(1072.7867762006372, 781.290184515806)","(1090.6335063037902, 791.2050345731132)","(1108.480236406943, 797.1539446074975)","(1128.3099365215573, 795.1709745960361)","(1144.173696613249, 789.2220645616518)","(989.5020357192568, 664.2949538395812)","(1013.2976758567941, 652.3971337708126)","(1041.0592560172543, 654.3801037822741)","(1062.87192614333, 672.226833885427)","(1039.0762860057928, 680.1587139312727)","(1009.3317358338712, 678.1757439198113)","(1165.9863667393247, 682.1416839427342)","(1189.782006876862, 666.2779238510427)","(1215.5606170258607, 668.2608938625042)","(1235.390317140475, 684.1246539541957)","(1217.5435870373221, 694.0395040115028)","(1189.782006876862, 692.0565340000413)","(1029.1614359484856, 854.6600749398792)","(1060.8889561318686, 842.7622548711106)","(1088.6505362923288, 834.8303748252648)","(1106.4972663954816, 842.7622548711106)","(1126.326966510096, 840.7792848596491)","(1148.1396366361719, 850.6941349169563)","(1175.9012167966318, 862.5919549857249)","(1144.173696613249, 876.472745065955)","(1120.3780564757117, 880.4386850888778)","(1100.5483563610974, 882.4216551003393)","(1082.7016262579443, 878.4557150774164)","(1056.9230161089456, 874.4897750544935)","(1041.0592560172543, 856.6430449513406)","(1086.6675662808673, 854.6600749398792)","(1104.51429638402, 856.6430449513406)","(1124.3439964986346, 856.6430449513406)","(1162.0204267164017, 864.5749249971864)","(1122.3610264871731, 860.6089849742635)","(1102.5313263725589, 860.6089849742635)","(1084.6845962694058, 858.6260149628021)"
77,1,0,0.0727272727272727,0:00:00.072727,0,"(911.0965218561732, 655.8324101292282)","(911.0965218561732, 708.8488025648244)","(913.0600919463805, 763.8287650906279)","(918.9508022170023, 820.7722977066388)","(930.7322227582459, 871.8251200520278)","(958.2222040211477, 916.987232126795)","(997.4936058252931, 954.2950638407332)","(1044.6192879902676, 985.7121852840495)","(1097.635680425864, 997.4936058252931)","(1146.7249326810456, 987.6757553742567)","(1193.85061484602, 962.1493442015623)","(1235.0855867403727, 928.7686526680386)","(1266.502708183689, 889.4972508638932)","(1282.2112689053472, 840.4079986087115)","(1292.0291193563835, 791.3187463535297)","(1301.84696980742, 740.2659240081407)","(1309.701250168249, 689.2131016627517)","(952.3314937505259, 632.2695690467409)","(977.8579049232204, 610.6702980544609)","(1013.2021665469513, 604.7795877838391)","(1046.5828580804748, 608.7067279642537)","(1077.9999795237911, 626.378858776119)","(1154.5792130418747, 628.3424288663264)","(1189.9234746656055, 616.5610083250828)","(1223.3041661991292, 616.5610083250828)","(1254.7212876424455, 626.378858776119)","(1274.3569885445181, 649.9416998586063)","(1117.2713813279365, 665.6502605802644)","(1115.3078112377293, 697.0673820235808)","(1113.344241147522, 728.4845034668971)","(1111.3806710573147, 761.8651950004207)","(1072.1092692531693, 785.428036082908)","(1089.7814000650349, 793.282316443737)","(1107.4535308769002, 801.1365968045661)","(1127.0892317789728, 797.2094566241516)","(1142.797792500631, 793.282316443737)","(989.639325464464, 665.6502605802644)","(1011.238596456744, 653.8688400390208)","(1040.692147809853, 657.7959802194354)","(1060.3278487119258, 675.4681110313009)","(1036.7650076294385, 683.3223913921299)","(1009.2750263665367, 681.3588213019226)","(1164.397063492911, 685.2859614823371)","(1187.9599045753982, 667.6138306704718)","(1213.4863157480927, 671.5409708508863)","(1233.1220166501655, 687.2495315725445)","(1215.4498858383001, 697.0673820235808)","(1187.9599045753982, 695.1038119333735)","(1030.8742973588166, 856.1165593303697)","(1062.291418802133, 846.2987088793333)","(1087.8178299748274, 838.4444285185042)","(1105.489960786693, 846.2987088793333)","(1125.1256616887656, 844.3351387891261)","(1146.7249326810456, 856.1165593303697)","(1174.2149139439473, 865.934409781406)","(1142.797792500631, 879.6794004128569)","(1119.2349514181437, 885.5701106834787)","(1099.5992505160712, 885.5701106834787)","(1081.9271197042058, 883.6065405932715)","(1058.3642786217185, 875.7522602324424)","(1040.692147809853, 858.0801294205769)","(1085.8542598846202, 858.0801294205769)","(1103.5263906964856, 862.0072696009914)","(1123.1620915985584, 862.0072696009914)","(1160.4699233124966, 865.934409781406)","(1121.1985215083512, 863.9708396911988)","(1101.5628206062784, 863.9708396911988)","(1083.890689794413, 862.0072696009914)"
77,2,0,0.1454545454545454,0:00:00.145455,0,"(916.7923513609541, 666.5803663413334)","(914.8375702279883, 719.3594569314096)","(918.7471324939198, 776.0481097874174)","(924.6114758928172, 830.7819815104594)","(938.2949438235777, 881.6062909675699)","(965.6618796850987, 924.6114758928172)","(1004.7575023444144, 961.7523174191672)","(1051.6722495355934, 991.074034413654)","(1102.4965589927037, 1002.8027212114487)","(1151.3660873168485, 996.9383778125514)","(1196.3260533750615, 969.5714419510304)","(1237.3764571673432, 938.2949438235777)","(1268.6529552947957, 899.199321164262)","(1288.2007666244535, 852.2845739730831)","(1297.9746722892826, 801.4602645159727)","(1307.7485779541114, 750.6359550588622)","(1315.5677024859747, 697.856864468786)","(957.8427551532357, 639.2134304798124)","(983.2549098817908, 619.6656191501545)","(1016.4861891422092, 613.8012757512571)","(1049.7174684026277, 617.7108380171886)","(1082.9487476630459, 633.349087080915)","(1163.0947741146433, 637.2586493468466)","(1196.3260533750615, 625.5299625490518)","(1229.55733263548, 625.5299625490518)","(1258.8790496299669, 633.349087080915)","(1280.3816420925905, 656.8064606765045)","(1122.0443703223616, 674.3994908731964)","(1120.0895891893958, 705.6759890006491)","(1118.13480805643, 736.9524871281017)","(1116.1800269234643, 770.1837663885201)","(1079.0391853971144, 795.5959211170752)","(1096.6322155938064, 801.4602645159727)","(1114.2252457904985, 809.2793890478358)","(1131.8182759871906, 805.3698267819042)","(1149.4113061838827, 801.4602645159727)","(994.9835966795855, 674.3994908731964)","(1016.4861891422092, 662.6708040754017)","(1045.807906136696, 664.6255852083675)","(1067.3104985993198, 684.1733965380255)","(1041.8983438707644, 691.9925210698885)","(1012.5766268762776, 690.0377399369228)","(1170.9138986465064, 691.9925210698885)","(1192.41649110913, 676.3542720061623)","(1219.7834269706511, 676.3542720061623)","(1241.2860194332748, 691.9925210698885)","(1221.738208103617, 703.7212078676833)","(1194.3712722420958, 701.7664267347175)","(1036.034000471867, 865.9680419038436)","(1067.3104985993198, 854.239355106049)","(1094.6774344608407, 848.3750117071515)","(1112.2704646575328, 854.239355106049)","(1129.8634948542249, 850.3297928401173)","(1153.3208684498143, 862.058479637912)","(1180.6878043113354, 871.8323853027409)","(1149.4113061838827, 887.4706343664673)","(1125.9539325882934, 891.3801966323988)","(1106.4061212586355, 891.3801966323988)","(1088.8130910619434, 889.425415499433)","(1063.400936333388, 883.5610721005357)","(1047.762687269662, 867.9228230368094)","(1092.722653327875, 865.9680419038436)","(1110.315683524567, 869.8776041697752)","(1127.9087137212591, 869.8776041697752)","(1168.9591175135406, 873.7871664357068)","(1127.9087137212591, 871.8323853027409)","(1110.315683524567, 871.8323853027409)","(1090.7678721949092, 867.9228230368094)"
77,3,0,0.2181818181818181,0:00:00.218182,0,"(908.0704480759381, 667.0751062298823)","(909.9984108107066, 721.0580628033988)","(913.8543362802434, 775.0410193769153)","(919.6382244845488, 830.9519386852003)","(935.0619263626963, 881.0789697891798)","(962.0534046494546, 923.4941499540856)","(1002.5406220795919, 958.1974791799177)","(1048.8117277140348, 987.1169202014444)","(1098.9387588180143, 998.6846966100551)","(1147.1378271872254, 989.0448829362128)","(1191.4809700868998, 963.9813673842231)","(1231.968187517037, 931.2060008931595)","(1262.815591273332, 892.6467461977905)","(1282.0952186210166, 844.4476778285793)","(1291.735032294859, 794.3206467245998)","(1301.374845968701, 746.1215783553886)","(1307.1587341730065, 694.0665845166405)","(952.4135909756124, 636.2277024735872)","(977.4771065276021, 616.9480751259027)","(1010.2524730186658, 611.1641869215974)","(1044.9558022444978, 615.0201123911343)","(1075.803206000793, 632.3717770040503)","(1156.7776408610675, 634.2997397388187)","(1189.5530073521313, 622.731963330208)","(1224.2563365779633, 624.6599260649765)","(1253.17577759949, 632.3717770040503)","(1272.4554049471744, 655.5073298212717)","(1116.2904234309303, 670.9310316994192)","(1114.3624606961619, 701.7784354557144)","(1114.3624606961619, 734.553801946778)","(1112.4344979613934, 767.3291684378415)","(1073.8752432660244, 790.4647212550628)","(1091.2269078789404, 798.1765721941367)","(1110.506535226625, 805.8884231332105)","(1127.858199839541, 802.0324976636736)","(1143.2819017176885, 798.1765721941367)","(989.0448829362128, 672.8589944341877)","(1010.2524730186658, 661.291218025577)","(1039.1719140401924, 663.2191807603455)","(1060.3795041226454, 680.5708453732615)","(1037.243951305424, 688.2826963123352)","(1008.3245102838973, 686.3547335775668)","(1164.4894918001414, 688.2826963123352)","(1185.6970818825944, 672.8589944341877)","(1212.6885601693525, 674.7869571689562)","(1233.8961502518055, 690.2106590471037)","(1214.616522904121, 699.850472720946)","(1187.6250446173628, 699.850472720946)","(1031.4600631011187, 859.871379706727)","(1062.3074668574138, 850.2315660328848)","(1089.298945144172, 842.519715093811)","(1108.5785724918564, 850.2315660328848)","(1125.9302371047725, 846.3756405633478)","(1149.0657899219939, 856.01545423719)","(1176.057268208752, 865.6552679110323)","(1145.209864452457, 881.0789697891798)","(1122.0743116352355, 886.8628579934852)","(1102.7946842875513, 886.8628579934852)","(1083.5150569398668, 884.9348952587168)","(1058.451541387877, 879.1510070544114)","(1041.0998767749609, 861.7993424414954)","(1087.3709824094035, 861.7993424414954)","(1106.650609757088, 865.6552679110323)","(1125.9302371047725, 865.6552679110323)","(1162.561529065373, 867.5832306458008)","(1124.002274370004, 865.6552679110323)","(1104.7226470223195, 867.5832306458008)","(1087.3709824094035, 863.7273051762638)"
77,4,0,0.2909090909090908,0:00:00.290909,0,"(905.9246481613911, 669.846826712554)","(905.9246481613911, 723.5881194000942)","(909.7633119247869, 777.3294120876343)","(915.5213075698804, 832.9900366568723)","(930.8759626234634, 882.8926655810168)","(959.6659408489313, 925.1179669783697)","(999.9719103645864, 959.6659408489313)","(1046.035875525335, 988.4559190743992)","(1097.8578363311774, 999.9719103645864)","(1147.7604652553218, 990.375250956097)","(1191.9050985343727, 965.4239364940248)","(1234.1303999317256, 930.8759626234634)","(1262.9203781571935, 890.5699931078083)","(1280.1943650924743, 844.5060279470595)","(1287.8716926192658, 794.6033990229151)","(1297.4683520277551, 746.6201019804686)","(1305.1456795545466, 694.7981411746263)","(950.069281440442, 637.2181847236903)","(975.0205959025142, 616.1055340250139)","(1009.5685697730758, 608.4282064982224)","(1044.1165436436372, 612.2668702616181)","(1076.7451856325008, 627.6215253152011)","(1155.4377927821133, 631.4601890785967)","(1188.066434770977, 619.9441977884096)","(1222.6144086415384, 621.8635296701075)","(1251.4043868670065, 631.4601890785967)","(1270.597705683985, 654.4921716589711)","(1117.051155148156, 667.9274948308562)","(1115.1318232664582, 698.636804938022)","(1113.2124913847604, 731.2654469268856)","(1111.2931595030625, 763.8940889157493)","(1072.906521869105, 788.8454033778215)","(1090.180508804386, 796.5227309046129)","(1109.3738276213646, 804.2000584314044)","(1126.6478145566452, 800.3613946680086)","(1143.921801491926, 794.6033990229151)","(986.5365871927013, 671.7661585942519)","(1009.5685697730758, 658.3308354223668)","(1038.3585479985436, 660.2501673040647)","(1059.4711986972202, 679.4434861210433)","(1034.5198842351479, 689.0401455295327)","(1005.72990600968, 687.1208136478348)","(1163.1151203089048, 687.1208136478348)","(1186.147102889279, 671.7661585942519)","(1213.017749233049, 673.6854904759498)","(1232.2110680500277, 689.0401455295327)","(1214.937081114747, 700.5561368197199)","(1188.066434770977, 698.636804938022)","(1030.681220471752, 859.8606830006424)","(1061.390530578918, 848.3446917104552)","(1090.180508804386, 840.6673641836638)","(1107.4544957396668, 846.4253598287573)","(1124.7284826749474, 844.5060279470595)","(1147.7604652553218, 854.1026873555488)","(1176.5504434807897, 865.618678645736)","(1145.841133373624, 879.054001817621)","(1120.8898189115516, 884.8119974627147)","(1101.6965000945731, 884.8119974627147)","(1084.4225131592923, 882.8926655810168)","(1059.4711986972202, 877.1346699359232)","(1040.2778798802415, 861.7800148823403)","(1088.261176922688, 859.8606830006424)","(1105.5351638579689, 861.7800148823403)","(1124.7284826749474, 861.7800148823403)","(1163.1151203089048, 865.618678645736)","(1122.8091507932495, 863.6993467640382)","(1105.5351638579689, 863.6993467640382)","(1086.3418450409902, 861.7800148823403)"
77,5,0,0.3636363636363635,0:00:00.363636,0,"(882.9989783988549, 675.5703390767101)","(884.9019934385076, 730.7577752266385)","(888.708023517813, 785.9452113765669)","(896.3200836764238, 841.1326475264954)","(909.6411889539927, 892.5140535971184)","(938.1864145487833, 936.2833995091306)","(978.1497303814901, 974.3437003021846)","(1027.6281214124604, 1002.8889258969753)","(1082.815557562389, 1012.4040010952388)","(1132.2939485933591, 1000.9859108573226)","(1177.9663095450242, 974.3437003021846)","(1217.9296253777309, 940.089429588436)","(1246.4748509725214, 898.2230987160765)","(1261.698971289743, 848.7447076851062)","(1271.2140464880065, 797.3633016144831)","(1276.9230916069646, 747.8849105835128)","(1282.6321367259227, 692.6974744335844)","(928.6713393505198, 641.3160683629613)","(953.4105348660049, 618.4798878871289)","(989.5678206194063, 610.8678277285181)","(1025.7251063728077, 614.6738578078235)","(1058.0763620469036, 629.8979781250451)","(1134.1969636330118, 631.8009931646978)","(1166.5482193071077, 620.3829029267816)","(1200.8024900208566, 620.3829029267816)","(1231.2507306552998, 629.8979781250451)","(1250.2808810518268, 654.6371736405304)","(1096.1366628399578, 667.9582789180993)","(1096.1366628399578, 700.3095345921953)","(1094.233647800305, 732.6607902662912)","(1094.233647800305, 765.0120459403872)","(1056.1733470072509, 791.654256495525)","(1073.3004823641254, 799.2663166541358)","(1090.4276177209997, 806.8783768127466)","(1109.4577681175267, 801.1693316937885)","(1124.6818884347483, 795.4602865748304)","(964.8286251039211, 675.5703390767101)","(987.6648055797536, 660.3462187594885)","(1016.2100311745442, 662.2492337991412)","(1039.0462116503766, 681.2793841956682)","(1014.3070161348915, 688.891444354279)","(985.761790540101, 688.891444354279)","(1143.7120388312753, 688.891444354279)","(1164.645204267455, 671.7643089974047)","(1193.1904298622458, 671.7643089974047)","(1212.2205802587728, 688.891444354279)","(1193.1904298622458, 700.3095345921953)","(1166.5482193071077, 698.4065195525426)","(1014.3070161348915, 869.677873121286)","(1044.7552567693347, 856.356767843717)","(1071.3974673244727, 846.8416926454535)","(1090.4276177209997, 852.5507377644116)","(1107.554753077874, 848.7447076851062)","(1130.3909335537064, 860.1627979230224)","(1157.0331441088442, 871.5808881609387)","(1128.4879185140537, 886.8050084781603)","(1103.7487229985686, 892.5140535971184)","(1084.7185726020416, 894.4170686367711)","(1067.5914372451673, 892.5140535971184)","(1042.852241729682, 888.708023517813)","(1025.7251063728077, 869.677873121286)","(1071.3974673244727, 867.7748580816333)","(1088.524602681347, 869.677873121286)","(1107.554753077874, 867.7748580816333)","(1143.7120388312753, 873.4839032005914)","(1105.6517380382213, 871.5808881609387)","(1088.524602681347, 873.4839032005914)","(1069.49445228482, 871.5808881609387)"
77,6,0,0.4363636363636362,0:00:00.436364,0,"(861.9190228533218, 680.8594469366503)","(863.8050601024538, 733.6684899123461)","(867.5771346007178, 788.363570137174)","(875.1212835972458, 843.0586503620019)","(890.2095815903017, 893.9816560885657)","(918.5001403272817, 939.2465500677337)","(959.9929598081856, 975.0812578012416)","(1009.0299282856174, 1005.2578537873535)","(1063.7250085104454, 1014.6880400330134)","(1114.6480142370092, 1003.3718165382214)","(1159.9129082161771, 973.1952205521095)","(1201.405727697081, 939.2465500677337)","(1231.582323683193, 897.7537305868298)","(1244.784584427117, 848.7167621093979)","(1250.4426961745128, 795.907719133702)","(1257.9868451710408, 744.9847134071381)","(1261.7589196693048, 692.1756704314422)","(907.1839168324897, 645.0247392031424)","(931.7024010712056, 620.5062549644264)","(967.5371088047135, 611.0760687187665)","(1005.2578537873535, 612.9621059678984)","(1037.3204870225975, 629.9364412100864)","(1110.8759397387453, 629.9364412100864)","(1144.824610223121, 616.7341804661625)","(1178.773280707497, 618.6202177152944)","(1210.835913942741, 628.0504039609544)","(1229.696286434061, 652.5688881996704)","(1076.9272692543693, 665.7711489435943)","(1076.9272692543693, 697.8337821788382)","(1076.9272692543693, 728.0103781649501)","(1076.9272692543693, 761.9590486493261)","(1037.3204870225975, 790.249607386306)","(1054.2948222647854, 797.793756382834)","(1073.1551947561052, 803.45186813023)","(1092.0155672474252, 797.793756382834)","(1107.1038652404811, 792.135644635438)","(944.9046618151297, 675.2013351892543)","(967.5371088047135, 660.1130371961983)","(995.8276675416935, 661.9990744453303)","(1018.4601145312774, 680.8594469366503)","(993.9416302925615, 688.4035959331783)","(965.6510715555816, 688.4035959331783)","(1124.0782004826692, 686.5175586840462)","(1144.824610223121, 667.6571861927263)","(1171.229131710969, 669.5432234418583)","(1191.975541451421, 686.5175586840462)","(1173.115168960101, 697.8337821788382)","(1146.7106474722532, 695.9477449297062)","(995.8276675416935, 871.3492090989818)","(1026.0042635278055, 854.3748738567938)","(1054.2948222647854, 843.0586503620019)","(1075.0412320052374, 848.7167621093979)","(1092.0155672474252, 844.9446876111339)","(1114.6480142370092, 856.2609111059259)","(1141.052535724857, 873.2352463481138)","(1112.7619769878772, 888.3235443411697)","(1088.2434927491613, 895.8676933376977)","(1069.3831202578413, 895.8676933376977)","(1050.5227477665214, 895.8676933376977)","(1024.1182262786733, 890.2095815903017)","(1009.0299282856174, 871.3492090989818)","(1054.2948222647854, 865.6910973515858)","(1073.1551947561052, 867.5771346007178)","(1090.1295299982933, 867.5771346007178)","(1127.8502749809331, 871.3492090989818)","(1090.1295299982933, 873.2352463481138)","(1071.2691575069732, 875.1212835972458)","(1052.4087850156534, 873.2352463481138)"
77,7,0,0.5090909090909088,0:00:00.509091,0,"(842.8581534011298, 679.5426537443408)","(844.7353430523573, 733.9811536299371)","(850.3669120060397, 790.2968431667609)","(857.8756706109496, 846.6125327035847)","(876.6475671232241, 895.4194636354988)","(904.805411891636, 938.5948256137303)","(946.1035842186402, 976.1386186382796)","(993.0333254993267, 1004.2964634066915)","(1047.471825384923, 1013.6824116628288)","(1098.1559459680645, 1002.419273755464)","(1141.3313079462962, 972.3842393358246)","(1178.8751009708453, 936.7176359625029)","(1207.0329457392572, 893.5422739842713)","(1222.050462949077, 846.6125327035847)","(1231.4364112052142, 794.0512224692159)","(1237.0679801588967, 743.3671018860745)","(1242.699549112579, 690.8057916517056)","(886.0335153793615, 643.876050371019)","(912.3141704965459, 621.3497745562895)","(946.1035842186402, 610.0866366489247)","(983.6473772431895, 610.0866366489247)","(1017.4367909652838, 623.226964207517)","(1092.5243770143823, 625.1041538587444)","(1126.3137907364764, 611.9638263001522)","(1160.1032044585706, 613.8410159513796)","(1190.1382388782101, 623.226964207517)","(1208.9101353904848, 645.7532400222465)","(1056.8577736410605, 662.6479468832937)","(1056.8577736410605, 692.6829813029331)","(1056.8577736410605, 724.5952053737998)","(1056.8577736410605, 756.5074294446666)","(1017.4367909652838, 786.542463864306)","(1036.2086874775582, 794.0512224692159)","(1054.980583989833, 799.6827914228983)","(1073.7524805021076, 794.0512224692159)","(1090.6471873631547, 788.4196535155335)","(925.4544980551382, 673.9110847906584)","(947.9807738698677, 658.8935675808387)","(978.015808289507, 658.8935675808387)","(1000.5420841042366, 679.5426537443408)","(976.1386186382796, 687.0514123492507)","(946.1035842186402, 687.0514123492507)","(1103.7875149217468, 683.2970330467957)","(1126.3137907364764, 664.5251365345212)","(1152.594445853661, 664.5251365345212)","(1173.243532017163, 681.4198433955683)","(1154.4716355048884, 692.6829813029331)","(1128.1909803877038, 690.8057916517056)","(976.1386186382796, 867.2616188670869)","(1008.0508427091464, 848.4897223548122)","(1038.0858771287858, 839.103774098675)","(1054.980583989833, 842.8581534011298)","(1075.629670153335, 839.103774098675)","(1101.9103252705195, 850.3669120060397)","(1128.1909803877038, 865.3844292158594)","(1100.033135619292, 884.156325728134)","(1073.7524805021076, 893.5422739842713)","(1053.1033943386055, 895.4194636354988)","(1032.4543081751035, 895.4194636354988)","(1006.173653057919, 889.7878946818164)","(987.4017565456444, 869.1388085183144)","(1036.2086874775582, 859.752860262177)","(1054.980583989833, 861.6300499134045)","(1075.629670153335, 859.752860262177)","(1115.0506528291116, 865.3844292158594)","(1073.7524805021076, 872.8931878207692)","(1053.1033943386055, 874.7703774719967)","(1034.3314978263309, 872.8931878207692)"
77,8,0,0.5818181818181816,0:00:00.581818,0,"(828.1325083534622, 681.6600919099926)","(831.8882113391921, 736.1177852030775)","(837.5217658177871, 790.5754784961623)","(846.9110232821121, 845.033171789247)","(863.811686717897, 895.7351620966019)","(893.8573106037369, 938.9257464324968)","(935.1700434467667, 976.4827762897967)","(983.9941822612566, 1004.6505486827715)","(1040.3297270472065, 1014.0398061470966)","(1091.0317173545611, 1000.8948456970415)","(1132.3444501975912, 972.7270733040666)","(1171.7793315477559, 935.1700434467667)","(1198.069252447866, 891.979459110872)","(1213.0920643907857, 843.1553202963821)","(1218.7256188693807, 790.5754784961623)","(1224.3591733479757, 737.9956366959425)","(1228.1148763337058, 685.4157948957227)","(869.445241196492, 644.1030620526927)","(893.8573106037369, 621.5688441383129)","(927.6586374753068, 610.3017351811229)","(963.3378158397417, 608.4238836882579)","(997.1391427113116, 623.4466956311778)","(1076.0089054116413, 621.5688441383129)","(1107.932380790346, 608.4238836882579)","(1141.733707661916, 608.4238836882579)","(1173.657183040621, 615.9352896597179)","(1194.3135494621358, 638.4695075740977)","(1040.3297270472065, 662.8815769813427)","(1040.3297270472065, 692.9272008671826)","(1040.3297270472065, 722.9728247530225)","(1042.2075785400714, 754.8963001317273)","(1004.6505486827715, 786.8197755104322)","(1021.5512121185565, 792.4533299890272)","(1042.2075785400714, 798.0868844676222)","(1059.1082419758563, 792.4533299890272)","(1076.0089054116413, 786.8197755104322)","(908.8801225466568, 676.0265374313976)","(931.4143404610368, 659.1258739956128)","(961.4599643468766, 659.1258739956128)","(983.9941822612566, 679.7822404171277)","(959.5821128540117, 689.1714978814526)","(929.5364889681717, 689.1714978814526)","(1089.1538658616962, 679.7822404171277)","(1109.8102322832112, 661.0037254884777)","(1137.9780046761862, 661.0037254884777)","(1156.756519604836, 677.9043889242627)","(1139.855856169051, 689.1714978814526)","(1113.565935268941, 689.1714978814526)","(963.3378158397417, 867.567389703627)","(993.3834397255815, 850.666726267842)","(1025.3069151042864, 839.399617310652)","(1044.0854300329363, 843.1553202963821)","(1062.8639449615864, 839.399617310652)","(1091.0317173545611, 848.7888747749771)","(1119.199489747536, 861.933835225032)","(1091.0317173545611, 886.345904632277)","(1062.8639449615864, 895.7351620966019)","(1042.2075785400714, 897.6130135894668)","(1021.5512121185565, 899.4908650823319)","(993.3834397255815, 891.979459110872)","(976.4827762897967, 869.445241196492)","(1023.4290636114215, 861.933835225032)","(1044.0854300329363, 861.933835225032)","(1062.8639449615864, 860.0559837321671)","(1106.0545292974812, 863.811686717897)","(1062.8639449615864, 873.200944182222)","(1044.0854300329363, 876.9566471679519)","(1023.4290636114215, 876.9566471679519)"
77,9,0,0.6545454545454543,0:00:00.654545,0,"(803.3795988453085, 668.8687944514838)","(808.907440121767, 722.3045934572498)","(814.4352813982256, 777.5830062218353)","(825.4909639511426, 832.8614189864207)","(843.9171015393378, 882.6119904745476)","(875.2415354392696, 926.834720686216)","(917.6216518921184, 961.8443821037868)","(965.5296096214257, 989.4835884860795)","(1018.9654086271917, 996.8540435213575)","(1068.7159801153186, 980.2705196919819)","(1112.938710326987, 947.1034720332306)","(1153.4762130210163, 910.2511968568404)","(1181.115419403309, 867.8710804039915)","(1195.8563294738651, 818.1205089158645)","(1197.6989432326845, 764.6847099100986)","(1201.3841707503236, 713.0915246631522)","(1203.2267845091433, 657.8131118985668)","(840.2318740216988, 637.5443605515521)","(862.3432391275329, 615.4329954457179)","(895.5102867862842, 604.3773128928009)","(930.5199482038549, 602.5346991339813)","(961.8443821037868, 617.2756092045374)","(1041.076773733026, 613.5903816868985)","(1070.558593874138, 598.8494716163423)","(1105.568255291709, 597.0068578575228)","(1135.0500754328211, 604.3773128928009)","(1157.1614405386554, 622.803450480996)","(1006.0671123154551, 654.1278843809278)","(1007.9097260742747, 685.4523182808595)","(1007.9097260742747, 714.9341384219717)","(1009.7523398330941, 746.2585723219034)","(974.7426784155233, 775.7403924630157)","(993.1688160037185, 783.1108474982938)","(1011.5949535919136, 788.6386887747524)","(1030.0210911801087, 781.2682337394742)","(1046.6046150094844, 773.8977787041962)","(878.9267629569085, 668.8687944514838)","(899.1955143039232, 654.1278843809278)","(928.6773344450355, 654.1278843809278)","(950.7886995508696, 672.5540219691229)","(926.834720686216, 681.7670907632205)","(899.1955143039232, 681.7670907632205)","(1055.817683803582, 668.8687944514838)","(1076.0864351505966, 650.4426568632887)","(1103.7256415328893, 648.6000431044693)","(1123.9943928799041, 663.3409531750253)","(1105.568255291709, 676.239249486762)","(1079.7716626682356, 676.239249486762)","(936.0477894803136, 856.8153978510744)","(965.5296096214257, 838.3892602628792)","(995.011429762538, 827.3335777099621)","(1015.2801811095527, 831.0188052276012)","(1033.7063186977477, 827.3335777099621)","(1063.1881388388601, 834.7040327452402)","(1094.5125727387917, 843.9171015393378)","(1066.873366356499, 869.713694162811)","(1037.3915462153868, 878.9267629569085)","(1017.1227948683721, 882.6119904745476)","(995.011429762538, 882.6119904745476)","(967.3722233802453, 880.7693767157281)","(948.9460857920501, 856.8153978510744)","(995.011429762538, 849.4449428157964)","(1015.2801811095527, 849.4449428157964)","(1035.5489324565674, 847.6023290569768)","(1083.4568901858747, 845.7597152981573)","(1035.5489324565674, 860.5006253687134)","(1015.2801811095527, 862.3432391275329)","(995.011429762538, 862.3432391275329)"
