video_id,frame_seq,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
278,0,0.0,0:00:00,0,"(1343.9816300218708, 606.8844384700835)","(1343.9816300218708, 653.3889931421206)","(1346.3068577554727, 699.8935478141576)","(1350.9573132226765, 748.7233302197966)","(1362.5834518906856, 797.5531126254355)","(1383.5105014931023, 839.4072118302688)","(1418.38891749713, 876.6108555678984)","(1460.2430167019634, 906.8388161047226)","(1509.0727991076023, 923.1154102399355)","(1562.553036980445, 918.4649547727317)","(1616.0332748532876, 897.5379051703151)","(1664.8630572589266, 871.9604001006948)","(1702.0667009965562, 832.4315286294633)","(1720.668522865371, 781.2765184902225)","(1729.9694337997785, 727.7962806173799)","(1739.2703447341858, 669.6655872773335)","(1743.9208002013895, 613.860121670889)","(1367.2339073578894, 544.1032896628335)","(1388.160956960306, 523.1762400604168)","(1418.38891749713, 516.2005568596113)","(1446.2916503003523, 520.851012326815)","(1474.1943831035746, 537.127606462028)","(1548.6016705788338, 532.4771509948242)","(1578.829631115658, 516.2005568596113)","(1616.0332748532876, 506.89964592520386)","(1650.9116908573153, 516.2005568596113)","(1681.1396513941395, 541.7780619292316)","(1506.7475713740005, 585.9573888676669)","(1504.4223436403986, 618.5105771380928)","(1502.0971159067967, 651.0637654085187)","(1497.4466604395932, 683.6169536789447)","(1469.5439276363709, 711.5196864821669)","(1483.495294037982, 716.1701419493706)","(1502.0971159067967, 723.1458251501762)","(1523.0241655092134, 718.4953696829725)","(1541.6259873780284, 713.8449142157688)","(1399.7870956283152, 599.908755269278)","(1418.38891749713, 585.9573888676669)","(1441.6411948331486, 585.9573888676669)","(1464.8934721691671, 606.8844384700835)","(1439.3159670995467, 609.2096662036854)","(1416.0636897635284, 606.8844384700835)","(1569.5287201812505, 604.5592107364816)","(1590.4557697836672, 583.632161134065)","(1618.3585025868895, 581.3069334004632)","(1641.610779922908, 595.2582998020742)","(1620.6837303204913, 604.5592107364816)","(1595.106225250871, 606.8844384700835)","(1430.0150561651394, 771.975607555815)","(1450.942105767556, 755.6990134206021)","(1478.8448385707784, 751.0485579533984)","(1499.771888173195, 755.6990134206021)","(1518.3737100420099, 753.3737856870002)","(1553.2521260460376, 764.9999243550095)","(1592.780997517269, 788.2522016910281)","(1555.5773537796395, 823.1306176950559)","(1518.3737100420099, 837.0819840966669)","(1497.4466604395932, 834.756756363065)","(1474.1943831035746, 830.1063008958614)","(1448.6168780339542, 809.1792512934447)","(1439.3159670995467, 774.3008352894169)","(1478.8448385707784, 767.3251520886114)","(1499.771888173195, 771.975607555815)","(1518.3737100420099, 771.975607555815)","(1583.4800865828618, 785.9269739574262)","(1520.6989377756117, 811.5044790270466)","(1499.771888173195, 809.1792512934447)","(1476.5196108371765, 804.528795826241)"
278,1,0.0333666666666666,0:00:00.033367,0,"(1354.2933383245022, 619.8406470742541)","(1351.954317014788, 666.6210732685373)","(1356.6323596342163, 713.4014994628207)","(1361.3104022536447, 760.181925657104)","(1373.0055088022154, 809.3013731611015)","(1396.395721899357, 851.4037567359564)","(1431.4810415450697, 886.489076381669)","(1471.2444038102105, 914.5573320982389)","(1520.363851314208, 930.9304812662382)","(1574.1613414376338, 926.2524386468098)","(1627.9588315610597, 907.5402681690965)","(1677.0782790650571, 879.4720124525265)","(1712.1635987107697, 839.7086501873856)","(1730.875769188483, 790.5892026833882)","(1740.2318544273396, 736.7917125599623)","(1749.5879396661962, 680.6552011268224)","(1754.2659822856247, 624.5186896936824)","(1377.6835514216439, 552.0090290925432)","(1398.7347432090714, 528.6188159954015)","(1429.1420202353556, 521.6017520662591)","(1459.5492972616396, 528.6188159954015)","(1487.6175529782097, 544.9919651634008)","(1562.4662348890631, 540.3139225439724)","(1592.873511915347, 523.9407733759732)","(1627.9588315610597, 516.9237094468307)","(1665.3831725164864, 523.9407733759732)","(1695.7904495427706, 547.3309864731149)","(1520.363851314208, 594.1114126673982)","(1518.0248300044939, 626.8577110033965)","(1515.6858086947798, 659.6040093393949)","(1513.3467873850655, 694.6893289851074)","(1482.9395103587813, 718.0795420822491)","(1499.3126595267806, 725.0966060113915)","(1515.6858086947798, 732.113669940534)","(1536.7370004822071, 727.4356273211057)","(1557.7881922696347, 722.7575847016774)","(1410.4298497576422, 605.806519215969)","(1431.4810415450697, 591.772391357684)","(1454.8712546422114, 591.772391357684)","(1475.922446429639, 612.8235831451116)","(1452.5322333324973, 615.1626044548257)","(1429.1420202353556, 612.8235831451116)","(1583.5174266764905, 612.8235831451116)","(1604.568618463918, 591.772391357684)","(1632.636874180488, 589.4333700479699)","(1656.0270872776296, 603.4674979062548)","(1634.9758954902022, 612.8235831451116)","(1606.9076397736321, 615.1626044548257)","(1440.8371267839264, 778.8940961348173)","(1464.227339881068, 764.8599682765323)","(1489.9565742879238, 760.181925657104)","(1513.3467873850655, 764.8599682765323)","(1532.058957862779, 762.5209469668182)","(1569.4832988182054, 774.216053515389)","(1606.9076397736321, 797.6062666125307)","(1569.4832988182054, 832.6915862582432)","(1532.058957862779, 846.7257141165281)","(1511.0077660753514, 844.386692806814)","(1487.6175529782097, 839.7086501873856)","(1459.5492972616396, 818.6574583999582)","(1452.5322333324973, 781.2331174445316)","(1489.9565742879238, 776.5550748251031)","(1513.3467873850655, 781.2331174445316)","(1532.058957862779, 781.2331174445316)","(1597.5515545347755, 795.2672453028165)","(1532.058957862779, 820.9964797096724)","(1511.0077660753514, 818.6574583999582)","(1489.9565742879238, 813.9794157805298)"
278,2,0.0667333333333332,0:00:00.066733,0,"(1346.420607416258, 613.9119868011953)","(1346.420607416258, 660.4204706497708)","(1351.0714558011155, 709.254378690775)","(1358.0477283784019, 760.4137109242079)","(1367.349425148117, 809.247618965212)","(1390.6036670724047, 851.1052544289299)","(1427.810454151265, 885.9866173153615)","(1471.9935138074115, 913.8917076245067)","(1523.1528460408447, 927.8442527790794)","(1574.3121782742776, 920.8679802017931)","(1627.7969347001392, 902.264586662363)","(1674.3054185487147, 874.3594963532177)","(1706.8613572427175, 834.8272850819286)","(1725.4647507821476, 783.6679528484956)","(1734.7664475518627, 727.8577722302051)","(1741.742720129149, 674.3730158043434)","(1746.3935685140066, 618.5628351860529)","(1372.0002735329745, 553.4509577980474)","(1392.9290912648335, 530.1967158737597)","(1425.4850299588363, 523.2204432964734)","(1455.7155444604102, 530.1967158737597)","(1483.6206347695554, 544.1492610283323)","(1558.034208927276, 541.8238368359035)","(1590.590147621279, 523.2204432964734)","(1625.4715105077105, 516.244170719187)","(1660.352873394142, 525.5458674889021)","(1690.583387895716, 551.1255336056186)","(1518.501997655987, 592.9831690693364)","(1516.1765734635583, 627.864531955768)","(1513.8511492711295, 660.4204706497708)","(1511.5257250787008, 692.9764093437735)","(1478.969786384698, 718.5560754604901)","(1495.2477557316993, 725.5323480377764)","(1513.8511492711295, 730.1831964226338)","(1534.7799670029885, 725.5323480377764)","(1555.7087847348473, 720.8814996529188)","(1404.5562122269773, 604.6102900314803)","(1425.4850299588363, 590.6577448769077)","(1451.0646960755528, 590.6577448769077)","(1471.9935138074115, 611.5865626087666)","(1448.7392718831238, 613.9119868011953)","(1423.1596057664074, 611.5865626087666)","(1578.963026659135, 611.5865626087666)","(1602.2172685834228, 590.6577448769077)","(1627.7969347001392, 588.3323206844789)","(1651.051176624427, 604.6102900314803)","(1630.122358892568, 611.5865626087666)","(1602.2172685834228, 613.9119868011953)","(1437.1121509209802, 779.017104463638)","(1460.3663928452677, 762.7391351166367)","(1490.5969073468418, 758.0882867317791)","(1511.5257250787008, 762.7391351166367)","(1530.1291186181309, 760.4137109242079)","(1565.0104815045624, 772.0408318863517)","(1604.5426927758515, 792.9696496182107)","(1567.3359056969912, 830.176436697071)","(1532.4545428105596, 844.1289818516436)","(1509.2003008862719, 844.1289818516436)","(1485.9460589619844, 837.1527092743573)","(1458.040968652839, 816.2238915424984)","(1446.413847690695, 781.3425286560669)","(1488.271483154413, 776.6916802712093)","(1511.5257250787008, 779.017104463638)","(1530.1291186181309, 779.017104463638)","(1592.9155718137076, 792.9696496182107)","(1530.1291186181309, 818.5493157349272)","(1511.5257250787008, 818.5493157349272)","(1488.271483154413, 813.8984673500696)"
278,3,0.1000999999999998,0:00:00.100100,0,"(1346.488871053733, 618.594196373563)","(1348.8144131453628, 665.1050382061617)","(1353.4654973286226, 713.9414221303904)","(1358.1165815118827, 762.777806054619)","(1369.7442919700322, 811.6141899788477)","(1392.9997128863317, 853.4739476281865)","(1432.5339284440406, 888.3570790026355)","(1476.7192281850093, 913.9380420105648)","(1527.881154200868, 927.8912945603445)","(1579.0430802167266, 923.2402103770846)","(1632.530548324215, 902.3103315524152)","(1679.0413901568138, 874.4038264528559)","(1711.5989794396328, 832.5440688035171)","(1727.8777740810424, 783.7076848792884)","(1737.179942447562, 730.2202167717999)","(1744.156568722452, 676.7327486643113)","(1746.4821108140818, 620.919738465193)","(1372.0698340616623, 555.8045598995546)","(1395.3252549779615, 532.5491389832554)","(1427.8828442607808, 525.5725127083655)","(1458.11489145197, 530.2235968916254)","(1488.346938643159, 546.5023915330349)","(1565.0898276669468, 541.8513073497751)","(1595.321874858136, 523.2469706167356)","(1630.2050062325852, 516.2703443418458)","(1665.0881376070342, 525.5725127083655)","(1692.9946427065934, 551.1534757162948)","(1520.904527925978, 595.3387754572636)","(1520.904527925978, 627.8963647400827)","(1520.904527925978, 660.4539540229018)","(1518.5789858343483, 693.0115433057209)","(1486.021396551529, 718.5925063136502)","(1502.3001911929387, 725.56913258854)","(1518.5789858343483, 730.2202167717999)","(1539.5088646590177, 727.8946746801699)","(1560.438743483687, 723.2435904969101)","(1406.9529654361113, 606.9664859154133)","(1430.2083863524106, 593.0132333656337)","(1453.46380726871, 593.0132333656337)","(1474.3936860933793, 613.943112190303)","(1451.13826517708, 616.268654281933)","(1427.8828442607808, 613.943112190303)","(1583.6941643999864, 611.6175700986731)","(1606.9495853162857, 590.6876912740038)","(1632.530548324215, 588.3621491823739)","(1655.7859692405143, 604.6409438237833)","(1634.856090415845, 613.943112190303)","(1606.9495853162857, 616.268654281933)","(1441.8360968105603, 781.3821427876585)","(1467.4170598184896, 765.1033481462489)","(1495.3235649180488, 760.452263962989)","(1516.2534437427182, 765.1033481462489)","(1537.1833225673877, 762.777806054619)","(1572.0664539418367, 772.0799744211388)","(1609.2751274079158, 795.3353953374381)","(1574.3919960334667, 832.5440688035171)","(1537.1833225673877, 844.1717792616668)","(1516.2534437427182, 844.1717792616668)","(1492.998022826419, 839.5206950784069)","(1465.0915177268596, 818.5908162537374)","(1453.46380726871, 781.3821427876585)","(1495.3235649180488, 776.7310586043986)","(1516.2534437427182, 779.0566006960286)","(1534.8577804757576, 781.3821427876585)","(1597.647416949766, 793.0098532458081)","(1537.1833225673877, 818.5908162537374)","(1516.2534437427182, 816.2652741621075)","(1495.3235649180488, 813.9397320704776)"
278,4,0.1334666666666664,0:00:00.133467,0,"(1348.8144131453628, 613.943112190303)","(1348.8144131453628, 662.7794961145318)","(1353.4654973286226, 711.6158800387605)","(1360.4421236035125, 760.452263962989)","(1372.0698340616623, 811.6141899788477)","(1395.3252549779615, 853.4739476281865)","(1434.8594705356704, 888.3570790026355)","(1481.3703123682692, 916.2635841021947)","(1532.5322383841278, 927.8912945603445)","(1586.0197064916163, 923.2402103770846)","(1637.181632507475, 904.6358736440451)","(1683.6924743400737, 874.4038264528559)","(1716.2500636228926, 832.5440688035171)","(1732.5288582643022, 781.3821427876585)","(1739.5054845391921, 725.56913258854)","(1746.4821108140818, 672.0816644810515)","(1748.8076529057118, 616.268654281933)","(1376.7209182449221, 558.1301019911847)","(1397.6507970695916, 534.8746810748853)","(1432.5339284440406, 527.8980547999955)","(1462.7659756352298, 534.8746810748853)","(1492.998022826419, 551.1534757162948)","(1565.0898276669468, 546.5023915330349)","(1595.321874858136, 527.8980547999955)","(1630.2050062325852, 518.5958864334757)","(1667.413679698664, 525.5725127083655)","(1695.3201847982234, 551.1534757162948)","(1525.555612109238, 595.3387754572636)","(1525.555612109238, 627.8963647400827)","(1525.555612109238, 660.4539540229018)","(1523.230070017608, 695.3370853973508)","(1490.672480734789, 718.5925063136502)","(1506.9512753761985, 725.56913258854)","(1523.230070017608, 730.2202167717999)","(1544.1599488422776, 727.8946746801699)","(1565.0898276669468, 723.2435904969101)","(1409.278507527741, 606.9664859154133)","(1432.5339284440406, 593.0132333656337)","(1455.7893493603399, 595.3387754572636)","(1479.0447702766394, 613.943112190303)","(1453.46380726871, 618.594196373563)","(1430.2083863524106, 616.268654281933)","(1586.0197064916163, 611.6175700986731)","(1609.2751274079158, 593.0132333656337)","(1634.856090415845, 588.3621491823739)","(1658.1115113321443, 604.6409438237833)","(1637.181632507475, 613.943112190303)","(1611.6006694995456, 616.268654281933)","(1446.4871809938202, 781.3821427876585)","(1472.0681440017495, 765.1033481462489)","(1502.3001911929387, 760.452263962989)","(1520.904527925978, 765.1033481462489)","(1541.8344067506475, 762.777806054619)","(1576.7175381250966, 774.4055165127687)","(1611.6006694995456, 793.0098532458081)","(1576.7175381250966, 832.5440688035171)","(1541.8344067506475, 844.1717792616668)","(1520.904527925978, 844.1717792616668)","(1497.6491070096788, 839.5206950784069)","(1469.7426019101194, 818.5908162537374)","(1455.7893493603399, 781.3821427876585)","(1499.9746491013086, 779.0566006960286)","(1520.904527925978, 781.3821427876585)","(1541.8344067506475, 781.3821427876585)","(1602.2985011330259, 793.0098532458081)","(1541.8344067506475, 818.5908162537374)","(1520.904527925978, 818.5908162537374)","(1499.9746491013086, 813.9397320704776)"
278,5,0.166833333333333,0:00:00.166833,0,"(1348.8372093023256, 618.6046511627907)","(1351.1627906976744, 667.4418604651163)","(1358.139534883721, 713.953488372093)","(1362.7906976744187, 765.1162790697674)","(1374.418604651163, 813.953488372093)","(1400.0, 858.1395348837209)","(1439.5348837209303, 893.0232558139535)","(1488.3720930232557, 918.6046511627907)","(1539.5348837209303, 932.5581395348837)","(1593.0232558139535, 925.5813953488372)","(1641.860465116279, 904.6511627906976)","(1686.046511627907, 872.0930232558139)","(1716.2790697674418, 832.5581395348837)","(1732.5581395348838, 779.0697674418604)","(1739.5348837209303, 725.5813953488372)","(1746.5116279069769, 672.0930232558139)","(1748.8372093023256, 618.6046511627907)","(1376.7441860465117, 560.4651162790698)","(1400.0, 539.5348837209302)","(1432.5581395348838, 532.5581395348837)","(1465.1162790697674, 539.5348837209302)","(1495.3488372093022, 555.8139534883721)","(1567.4418604651164, 548.8372093023256)","(1597.6744186046512, 530.232558139535)","(1632.5581395348838, 520.9302325581396)","(1669.7674418604652, 530.232558139535)","(1697.6744186046512, 553.4883720930233)","(1530.2325581395348, 595.3488372093024)","(1530.2325581395348, 630.232558139535)","(1530.2325581395348, 662.7906976744187)","(1527.906976744186, 695.3488372093024)","(1493.0232558139535, 720.9302325581396)","(1509.3023255813953, 725.5813953488372)","(1527.906976744186, 732.5581395348837)","(1548.8372093023256, 727.9069767441861)","(1569.7674418604652, 723.2558139534884)","(1411.6279069767443, 609.3023255813954)","(1434.8837209302326, 595.3488372093024)","(1458.139534883721, 595.3488372093024)","(1479.0697674418604, 616.2790697674419)","(1455.8139534883721, 616.2790697674419)","(1432.5581395348838, 613.953488372093)","(1590.6976744186047, 613.953488372093)","(1611.6279069767443, 593.0232558139535)","(1637.2093023255813, 590.6976744186046)","(1660.46511627907, 604.6511627906976)","(1639.5348837209303, 613.953488372093)","(1613.953488372093, 616.2790697674419)","(1448.8372093023256, 781.3953488372093)","(1476.7441860465117, 765.1162790697674)","(1506.9767441860465, 760.4651162790698)","(1525.5813953488373, 765.1162790697674)","(1546.5116279069769, 762.7906976744187)","(1581.3953488372094, 774.4186046511628)","(1616.2790697674418, 795.3488372093024)","(1581.3953488372094, 834.8837209302326)","(1546.5116279069769, 848.8372093023256)","(1525.5813953488373, 848.8372093023256)","(1502.3255813953488, 844.1860465116279)","(1472.093023255814, 820.9302325581396)","(1458.139534883721, 783.7209302325582)","(1506.9767441860465, 779.0697674418604)","(1525.5813953488373, 781.3953488372093)","(1546.5116279069769, 781.3953488372093)","(1604.6511627906978, 793.0232558139535)","(1546.5116279069769, 823.2558139534884)","(1525.5813953488373, 823.2558139534884)","(1504.6511627906978, 818.6046511627907)"
278,6,0.2001999999999996,0:00:00.200200,0,"(1348.8144131453628, 618.594196373563)","(1351.1399552369928, 667.4305802977916)","(1358.1165815118827, 716.2669642220203)","(1365.0932077867724, 767.4288902378788)","(1376.7209182449221, 818.5908162537374)","(1402.3018812528514, 860.4505739030764)","(1444.1616389021901, 895.3337052775254)","(1490.672480734789, 923.2402103770846)","(1541.8344067506475, 934.8679208352343)","(1592.9963327665062, 927.8912945603445)","(1644.1582587823648, 906.961415735675)","(1686.0180164317035, 874.4038264528559)","(1716.2500636228926, 832.5440688035171)","(1732.5288582643022, 781.3821427876585)","(1739.5054845391921, 725.56913258854)","(1746.4821108140818, 672.0816644810515)","(1748.8076529057118, 616.268654281933)","(1379.046460336552, 562.7811861744445)","(1404.6274233444813, 544.176849441405)","(1437.1850126273005, 539.5257652581452)","(1467.4170598184896, 546.5023915330349)","(1497.6491070096788, 562.7811861744445)","(1569.7409118502069, 555.8045598995546)","(1599.972959041396, 537.2002231665152)","(1634.856090415845, 530.2235968916254)","(1669.739221790294, 534.8746810748853)","(1697.6457268898532, 555.8045598995546)","(1532.5322383841278, 599.9898596405235)","(1532.5322383841278, 634.8729910149725)","(1532.5322383841278, 665.1050382061617)","(1532.5322383841278, 699.9881695806107)","(1497.6491070096788, 723.2435904969101)","(1513.9279016510884, 730.2202167717999)","(1532.5322383841278, 734.8713009550597)","(1553.4621172087973, 730.2202167717999)","(1572.0664539418367, 725.56913258854)","(1413.929591711001, 611.6175700986731)","(1434.8594705356704, 597.6643175488936)","(1458.11489145197, 599.9898596405235)","(1481.3703123682692, 616.268654281933)","(1458.11489145197, 618.594196373563)","(1434.8594705356704, 616.268654281933)","(1592.9963327665062, 616.268654281933)","(1613.9262115911756, 597.6643175488936)","(1637.181632507475, 595.3387754572636)","(1662.7625955154042, 606.9664859154133)","(1639.507174599105, 616.268654281933)","(1616.2517536828054, 616.268654281933)","(1451.13826517708, 783.7076848792884)","(1479.0447702766394, 767.4288902378788)","(1509.2768174678286, 762.777806054619)","(1530.2066962924978, 767.4288902378788)","(1548.8110330255374, 765.1033481462489)","(1583.6941643999864, 776.7310586043986)","(1618.5772957744355, 795.3353953374381)","(1586.0197064916163, 837.195152986777)","(1551.1365751171672, 853.4739476281865)","(1530.2066962924978, 853.4739476281865)","(1506.9512753761985, 846.4973213532967)","(1474.3936860933793, 825.5674425286272)","(1460.4404335435997, 786.0332269709183)","(1509.2768174678286, 779.0566006960286)","(1530.2066962924978, 783.7076848792884)","(1548.8110330255374, 783.7076848792884)","(1606.9495853162857, 797.660937429068)","(1551.1365751171672, 825.5674425286272)","(1530.2066962924978, 825.5674425286272)","(1506.9512753761985, 820.9163583453674)"
278,7,0.2335666666666662,0:00:00.233567,0,"(1359.06432748538, 622.2222222222223)","(1361.4035087719299, 673.6842105263158)","(1368.421052631579, 722.8070175438596)","(1375.438596491228, 774.2690058479533)","(1387.1345029239767, 823.3918128654971)","(1412.8654970760235, 867.8362573099415)","(1452.6315789473686, 902.9239766081871)","(1499.4152046783627, 930.9941520467836)","(1550.877192982456, 945.0292397660819)","(1602.3391812865498, 935.672514619883)","(1653.8011695906432, 912.280701754386)","(1698.2456140350878, 881.8713450292398)","(1728.654970760234, 837.4269005847954)","(1745.029239766082, 785.9649122807018)","(1752.046783625731, 732.1637426900585)","(1756.7251461988305, 676.0233918128655)","(1759.06432748538, 622.2222222222223)","(1389.4736842105262, 568.421052631579)","(1412.8654970760235, 552.046783625731)","(1445.6140350877192, 549.7076023391813)","(1476.0233918128656, 556.7251461988304)","(1506.4327485380118, 570.7602339181286)","(1578.9473684210527, 563.7426900584795)","(1609.3567251461989, 549.7076023391813)","(1642.1052631578948, 540.3508771929825)","(1677.1929824561405, 542.6900584795321)","(1707.6023391812867, 561.4035087719299)","(1541.5204678362572, 605.8479532163743)","(1541.5204678362572, 640.9356725146199)","(1541.5204678362572, 673.6842105263158)","(1541.5204678362572, 706.4327485380118)","(1506.4327485380118, 729.8245614035088)","(1522.8070175438597, 736.8421052631579)","(1543.859649122807, 743.859649122807)","(1562.5730994152048, 736.8421052631579)","(1581.2865497076023, 732.1637426900585)","(1424.561403508772, 617.5438596491229)","(1445.6140350877192, 605.8479532163743)","(1469.0058479532165, 605.8479532163743)","(1490.0584795321638, 622.2222222222223)","(1466.6666666666667, 622.2222222222223)","(1443.2748538011697, 622.2222222222223)","(1602.3391812865498, 619.8830409356725)","(1623.391812865497, 603.5087719298245)","(1646.7836257309941, 601.1695906432749)","(1670.1754385964912, 612.8654970760234)","(1649.122807017544, 619.8830409356725)","(1625.7309941520468, 622.2222222222223)","(1464.327485380117, 792.9824561403509)","(1487.719298245614, 776.6081871345029)","(1518.1286549707602, 771.9298245614035)","(1539.1812865497077, 776.6081871345029)","(1560.233918128655, 774.2690058479533)","(1592.982456140351, 785.9649122807018)","(1625.7309941520468, 804.6783625730994)","(1595.3216374269007, 844.4444444444445)","(1562.5730994152048, 860.8187134502924)","(1539.1812865497077, 860.8187134502924)","(1518.1286549707602, 856.140350877193)","(1487.719298245614, 832.7485380116959)","(1473.6842105263158, 795.3216374269006)","(1518.1286549707602, 790.6432748538011)","(1539.1812865497077, 792.9824561403509)","(1560.233918128655, 792.9824561403509)","(1616.374269005848, 804.6783625730994)","(1560.233918128655, 832.7485380116959)","(1539.1812865497077, 832.7485380116959)","(1518.1286549707602, 828.0701754385965)"
278,8,0.2669333333333328,0:00:00.266933,0,"(1351.1399552369928, 618.594196373563)","(1351.1399552369928, 669.7561223894215)","(1360.4421236035125, 718.5925063136502)","(1367.4187498784024, 769.7544323295089)","(1379.046460336552, 818.5908162537374)","(1404.6274233444813, 862.7761159947063)","(1441.8360968105603, 897.6592473691553)","(1490.672480734789, 925.5657524687145)","(1541.8344067506475, 937.1934629268642)","(1592.9963327665062, 930.2168366519744)","(1641.8327166907347, 906.961415735675)","(1686.0180164317035, 876.7293685444859)","(1716.2500636228926, 832.5440688035171)","(1732.5288582643022, 781.3821427876585)","(1741.831026630822, 730.2202167717999)","(1746.4821108140818, 674.4072065726814)","(1751.133194997342, 620.919738465193)","(1379.046460336552, 565.1067282660745)","(1404.6274233444813, 548.8279336246649)","(1437.1850126273005, 548.8279336246649)","(1467.4170598184896, 555.8045598995546)","(1497.6491070096788, 572.0833545409643)","(1567.4153697585768, 567.4322703577044)","(1597.647416949766, 553.4790178079247)","(1630.2050062325852, 541.8513073497751)","(1667.413679698664, 544.176849441405)","(1697.6457268898532, 560.4556440828146)","(1532.5322383841278, 604.6409438237833)","(1532.5322383841278, 637.1985331066024)","(1532.5322383841278, 669.7561223894215)","(1532.5322383841278, 702.3137116722406)","(1497.6491070096788, 727.8946746801699)","(1513.9279016510884, 734.8713009550597)","(1532.5322383841278, 739.5223851383197)","(1553.4621172087973, 734.8713009550597)","(1572.0664539418367, 730.2202167717999)","(1413.929591711001, 613.943112190303)","(1434.8594705356704, 602.3154017321534)","(1458.11489145197, 604.6409438237833)","(1479.0447702766394, 618.594196373563)","(1455.7893493603399, 618.594196373563)","(1432.5339284440406, 618.594196373563)","(1590.6707906748761, 616.268654281933)","(1613.9262115911756, 602.3154017321534)","(1637.181632507475, 599.9898596405235)","(1660.4370534237744, 611.6175700986731)","(1637.181632507475, 618.594196373563)","(1613.9262115911756, 618.594196373563)","(1458.11489145197, 795.3353953374381)","(1483.6958544598992, 776.7310586043986)","(1511.6023595594584, 772.0799744211388)","(1530.2066962924978, 774.4055165127687)","(1548.8110330255374, 772.0799744211388)","(1579.0430802167266, 781.3821427876585)","(1609.2751274079158, 804.6375637039579)","(1581.3686223083564, 839.5206950784069)","(1551.1365751171672, 855.7994897198164)","(1530.2066962924978, 855.7994897198164)","(1509.2768174678286, 851.1484055365565)","(1481.3703123682692, 830.2185267118872)","(1469.7426019101194, 795.3353953374381)","(1511.6023595594584, 788.3587690625483)","(1530.2066962924978, 790.6843111541782)","(1548.8110330255374, 790.6843111541782)","(1597.647416949766, 804.6375637039579)","(1551.1365751171672, 825.5674425286272)","(1530.2066962924978, 827.8929846202572)","(1509.2768174678286, 823.2419004369973)"
278,9,0.3002999999999994,0:00:00.300300,0,"(1351.1627906976744, 620.9302325581396)","(1351.1627906976744, 669.7674418604652)","(1360.46511627907, 718.6046511627907)","(1367.4418604651164, 767.4418604651163)","(1376.7441860465117, 816.2790697674419)","(1402.3255813953488, 860.4651162790698)","(1439.5348837209303, 895.3488372093024)","(1486.046511627907, 923.2558139534884)","(1537.2093023255813, 937.2093023255815)","(1590.6976744186047, 930.232558139535)","(1641.860465116279, 906.9767441860465)","(1686.046511627907, 874.4186046511628)","(1718.6046511627908, 832.5581395348837)","(1732.5581395348838, 781.3953488372093)","(1741.860465116279, 727.9069767441861)","(1748.8372093023256, 674.4186046511628)","(1751.1627906976744, 620.9302325581396)","(1379.0697674418604, 567.4418604651163)","(1404.6511627906978, 551.1627906976744)","(1437.2093023255813, 548.8372093023256)","(1469.7674418604652, 558.1395348837209)","(1497.6744186046512, 572.0930232558139)","(1562.7906976744187, 569.7674418604652)","(1595.3488372093022, 555.8139534883721)","(1630.2325581395348, 544.1860465116279)","(1665.1162790697674, 546.5116279069767)","(1695.3488372093022, 562.7906976744187)","(1532.5581395348838, 606.9767441860465)","(1532.5581395348838, 639.5348837209302)","(1532.5581395348838, 672.0930232558139)","(1532.5581395348838, 706.9767441860465)","(1495.3488372093022, 730.232558139535)","(1513.953488372093, 737.2093023255815)","(1534.8837209302326, 744.1860465116279)","(1555.8139534883721, 737.2093023255815)","(1574.418604651163, 730.232558139535)","(1413.953488372093, 613.953488372093)","(1434.8837209302326, 602.3255813953489)","(1458.139534883721, 604.6511627906976)","(1479.0697674418604, 618.6046511627907)","(1455.8139534883721, 620.9302325581396)","(1434.8837209302326, 618.6046511627907)","(1590.6976744186047, 616.2790697674419)","(1611.6279069767443, 602.3255813953489)","(1634.8837209302326, 600.0)","(1660.46511627907, 611.6279069767442)","(1637.2093023255813, 618.6046511627907)","(1613.953488372093, 618.6046511627907)","(1465.1162790697674, 802.3255813953489)","(1486.046511627907, 781.3953488372093)","(1513.953488372093, 774.4186046511628)","(1530.2325581395348, 776.7441860465117)","(1548.8372093023256, 774.4186046511628)","(1579.0697674418604, 783.7209302325582)","(1606.9767441860465, 806.9767441860465)","(1579.0697674418604, 837.2093023255815)","(1551.1627906976744, 853.4883720930233)","(1530.2325581395348, 853.4883720930233)","(1511.6279069767443, 851.1627906976744)","(1486.046511627907, 832.5581395348837)","(1474.418604651163, 802.3255813953489)","(1511.6279069767443, 793.0232558139535)","(1530.2325581395348, 795.3488372093024)","(1548.8372093023256, 793.0232558139535)","(1595.3488372093022, 804.6511627906976)","(1548.8372093023256, 823.2558139534884)","(1530.2325581395348, 825.5813953488372)","(1511.6279069767443, 820.9302325581396)"
