,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,0,24.020824298928627,98.65596788841516,8.246211251235321,14.317821063276352,26.476404589747453,28.442925306655784,17.46424919657298,63.788713735268246,49.49747468305833,37.0,22.0,40.0,14.0,32.0,14.0,4.0,7.280109889280518,7.071067811865476,7.5,37.0,16.0,22.80350850198276,{}
1,1,24.020824298928627,98.65596788841516,7.280109889280518,14.317821063276352,26.476404589747453,28.442925306655784,18.43908891458577,63.788713735268246,49.49747468305833,37.0,22.0,40.0,13.0,32.0,15.0,4.0,7.280109889280518,7.280109889280518,7.0,37.0,15.0,21.840329667841555,{}
2,2,25.019992006393608,97.16480844420988,8.246211251235321,13.152946437965904,25.495097567963924,27.459060435491963,17.46424919657298,63.63961030678928,50.48762224545735,37.5,23.0,38.0,13.5,32.5,15.5,3.5,6.324555320336759,6.324555320336759,6.5,35.0,16.0,25.70992026436488,{}
3,3,23.021728866442675,95.1892851112981,8.06225774829855,14.317821063276352,25.317977802344327,28.284271247461906,17.26267650163207,62.51399843235114,48.25971404805462,36.5,23.0,38.0,13.5,31.5,14.5,4.5,8.54400374531753,7.071067811865476,7.0,34.0,15.0,20.8806130178211,{}
4,4,25.019992006393608,90.93404203047392,7.071067811865476,14.317821063276352,24.186773244895647,27.29468812791236,18.43908891458577,64.6297145282261,50.35871324805669,37.5,26.0,39.0,14.5,31.5,13.5,6.5,7.615773105863909,7.280109889280518,7.0,33.0,16.0,19.6468827043885,{}
5,5,27.018512172212592,87.82368700982668,7.280109889280518,14.142135623730953,25.317977802344327,27.16615541441225,19.235384061671343,67.47592163134935,53.33854141237835,39.5,30.0,42.0,17.0,31.0,14.0,9.0,8.54400374531753,8.246211251235321,8.0,32.0,16.0,23.194827009486403,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
6,6,29.068883707497267,86.97700845625813,6.082762530298219,14.142135623730953,23.345235059857504,27.29468812791236,18.24828759089466,67.47592163134935,53.33854141237835,38.5,28.0,41.0,16.5,32.5,15.5,8.5,8.246211251235321,8.246211251235321,8.5,33.0,16.0,22.36067977499789,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
7,7,32.0624390837628,82.03657720797473,8.06225774829855,14.142135623730953,23.194827009486403,27.16615541441225,19.235384061671343,73.43704787094863,59.30430001273095,43.0,35.0,48.0,22.5,31.5,14.5,13.5,9.486832980505138,9.055385138137416,9.0,33.0,16.0,22.36067977499789,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
8,8,35.0142828000232,82.87339742040264,7.071067811865476,14.317821063276352,24.33105012119288,28.16025568065745,18.43908891458577,74.54528824815154,60.29925372672534,42.5,35.0,47.0,23.0,33.0,16.0,14.0,11.180339887498947,10.04987562112089,9.5,34.0,18.0,19.4164878389476,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
9,9,32.01562118716424,82.20097323024831,8.06225774829855,14.317821063276352,24.33105012119288,26.30589287593181,17.46424919657298,71.56814934033156,57.3149195236284,41.0,33.0,47.0,23.0,31.0,14.0,13.0,9.219544457292889,9.055385138137416,9.0,33.0,17.0,21.213203435596427,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
10,10,24.08318915758459,81.04936767180853,7.071067811865476,13.152946437965904,22.36067977499789,24.186773244895647,19.4164878389476,63.63961030678928,50.48762224545735,38.0,31.0,44.0,18.5,25.5,9.5,9.5,9.219544457292889,8.06225774829855,8.0,33.0,16.0,20.39607805437113,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
11,11,24.020824298928627,82.20097323024831,7.280109889280518,13.341664064126334,21.213203435596427,25.317977802344327,20.39607805437113,64.77653896280658,51.47815070493501,39.0,31.0,45.0,18.0,26.0,10.0,10.0,8.246211251235321,8.246211251235321,8.0,32.0,15.0,19.4164878389476,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
12,12,10.0,80.23091673413684,8.06225774829855,15.132745950421556,20.39607805437113,22.20360331117452,20.39607805437113,53.46026561849464,38.3275357934736,33.0,28.0,42.0,15.0,18.0,0.0,5.0,8.246211251235321,8.246211251235321,7.5,32.0,15.0,17.46424919657298,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
13,13,10.04987562112089,79.62411694957753,7.280109889280518,14.317821063276352,21.37755832643195,23.53720459187964,21.213203435596427,52.773099207835045,38.47076812334269,33.0,28.0,44.0,15.0,16.0,1.0,6.0,7.280109889280518,7.280109889280518,7.0,32.0,14.0,20.615528128088304,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
14,14,10.04987562112089,76.48529270389177,10.198039027185567,15.297058540778355,19.4164878389476,21.37755832643195,22.36067977499789,57.87054518492115,42.579337712087536,37.0,31.0,46.0,16.5,18.5,0.5,5.5,8.54400374531753,7.280109889280518,7.5,34.0,16.0,22.80350850198276,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
15,15,6.082762530298219,74.33034373659252,10.198039027185567,15.297058540778355,19.235384061671343,20.223748416156685,26.0768096208106,57.55866572463264,42.2965719651132,39.0,34.0,48.0,15.0,16.0,2.0,4.0,9.486832980505138,8.246211251235321,9.0,33.0,15.0,22.56102834535696,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
16,16,6.082762530298219,75.50496672405067,10.198039027185567,16.278820596099706,20.223748416156685,20.39607805437113,25.179356624028344,57.706152185014034,41.43669871020132,38.0,32.0,47.0,14.5,17.5,1.5,3.5,9.486832980505138,9.219544457292889,9.5,34.0,15.0,24.73863375370596,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
17,17,6.082762530298219,74.33034373659252,10.04987562112089,14.317821063276352,18.24828759089466,20.223748416156685,27.16615541441225,57.55866572463264,43.28972164382672,40.0,34.0,48.0,14.0,16.0,1.0,3.0,9.486832980505138,9.219544457292889,9.0,32.0,14.0,23.53720459187964,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
18,18,11.04536101718726,76.11832893594026,10.04987562112089,14.317821063276352,18.43908891458577,20.39607805437113,26.1725046566048,61.5223536610881,47.265209192385896,41.5,35.0,48.0,15.5,19.5,2.5,4.5,7.615773105863909,8.246211251235321,8.0,31.0,15.0,20.39607805437113,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
19,19,16.1245154965971,81.21576201698781,10.04987562112089,15.132745950421556,21.213203435596427,23.345235059857504,22.09072203437452,63.38769596696192,48.25971404805462,40.0,33.0,47.0,18.0,23.0,5.0,7.0,7.280109889280518,7.280109889280518,7.5,31.0,15.0,23.345235059857504,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
20,20,16.0312195418814,83.72574275573791,8.06225774829855,14.142135623730953,20.223748416156685,22.36067977499789,20.09975124224178,58.30951894845301,44.181444068749045,36.0,30.0,41.0,15.5,22.5,6.5,5.5,7.280109889280518,7.071067811865476,7.5,28.0,14.0,18.43908891458577,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
21,21,16.0312195418814,83.72574275573791,8.06225774829855,15.132745950421556,21.213203435596427,23.194827009486403,21.095023109728988,60.29925372672534,45.17742799230607,37.0,32.0,43.0,16.5,22.5,5.5,6.5,8.06225774829855,8.246211251235321,8.0,29.0,15.0,16.278820596099706,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
22,22,15.132745950421556,83.60023923410746,9.0,13.038404810405298,23.194827009486403,24.186773244895647,20.223748416156685,57.3149195236284,44.28317965096906,36.5,30.0,40.0,15.0,22.0,6.0,5.0,9.055385138137416,8.0,8.0,29.0,17.0,23.345235059857504,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
23,23,16.0312195418814,83.48652585896721,7.0,13.152946437965904,21.213203435596427,23.194827009486403,20.09975124224178,56.22277118748239,43.10452412450461,35.0,27.0,36.0,11.5,24.5,9.5,3.5,7.280109889280518,7.071067811865476,7.0,31.0,19.0,21.213203435596427,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
24,24,21.0,83.38465086573187,7.071067811865476,12.16552506059644,22.20360331117452,23.08679276123039,19.1049731745428,59.21148537234985,47.09564735726647,36.5,28.0,36.0,13.0,27.0,13.0,5.0,8.246211251235321,7.071067811865476,7.5,29.0,19.0,21.213203435596427,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
25,25,25.0,80.22468448052632,7.071067811865476,12.16552506059644,21.02379604162864,25.079872407968907,19.1049731745428,63.198101237299845,51.0881590977792,38.5,32.0,38.0,16.0,28.0,14.0,9.0,7.071067811865476,6.0,6.5,27.0,19.0,17.11724276862369,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
26,26,25.019992006393608,80.30566605165541,7.0,12.041594578792296,22.09072203437452,24.020824298928627,19.1049731745428,63.12685640834652,51.0881590977792,38.5,31.0,38.0,15.5,28.5,14.5,8.5,7.280109889280518,7.0,7.5,27.0,19.0,17.26267650163207,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
27,27,28.0,77.23341245859851,7.071067811865476,13.038404810405298,21.02379604162864,24.08318915758459,19.1049731745428,67.11929677819934,54.08326913195984,40.0,34.0,40.0,18.0,30.0,15.0,11.0,7.071067811865476,7.071067811865476,7.5,25.0,20.0,20.024984394500787,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
28,28,24.020824298928627,76.32168761236873,8.0,13.0,21.02379604162864,23.021728866442675,20.09975124224178,65.06919393998976,52.08646657242167,40.0,34.0,41.0,17.5,27.5,13.5,9.5,8.06225774829855,8.0,8.0,25.0,20.0,16.0312195418814,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
29,29,13.0,72.06247289678588,9.0,13.0,18.027756377319943,21.0,22.02271554554524,57.0087712549569,44.01136216933077,37.5,35.0,38.0,14.5,20.5,6.5,4.5,6.082762530298219,6.0,6.0,24.0,21.0,18.027756377319943,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
30,30,4.123105625617661,70.02856560004639,9.0,11.04536101718726,16.0,18.0,23.0,47.0,36.013886210738214,34.0,33.0,35.0,11.0,13.0,2.0,2.0,8.06225774829855,7.0,7.0,25.0,22.0,19.026297590440446,"{'neutral': (['m1', 'm3', 'm12', 'e1', 'e2'], None, 22)}"
